c1,c2,,,v,
Vida de la Virgen,Adoración de los Pastores,Mariología,5.66%,128,
Vida de la Virgen,Adoración de los Reyes,Mariología,4.69%,106,
Vida de la Virgen,Anunciación,Mariología,6.55%,148,
Vida de la Virgen,Asunción,Mariología,5.35%,121,
Vida de la Virgen,Circuncisión,Mariología,1.64%,37,
Vida de la Virgen,Concepción de la Virgen,Mariología,2.26%,51,
Vida de la Virgen,Coronación y Eucaristía,Mariología,8.23%,186,
Vida de la Virgen,Desposorios,Mariología,3.89%,88,
Vida de la Virgen,Educación,Mariología,1.90%,43,
Vida de la Virgen,Egipto,Mariología,9.02%,204,
Vida de la Virgen,Entre Doctores,Mariología,1.37%,31,
Vida de la Virgen,Hilandera,Mariología,0.71%,16,
Vida de la Virgen,Nacimiento de Jesús,Mariología,0.71%,16,
Vida de la Virgen,Nacimiento de la Virgen,Mariología,2.96%,67,
Vida de la Virgen,Niño de la Espina,Mariología,1.77%,40,
Vida de la Virgen,Presentación,Mariología,2.08%,47,
Vida de la Virgen,Presentación de la Virgen,Mariología,1.64%,37,
Vida de la Virgen,Sacramentos de la virgen,Mariología,0.49%,11,
Vida de la Virgen,Sagrada Familia,Mariología,27.47%,621,
Vida de la Virgen,Sagrada familia de la Virgen,Mariología,6.06%,137,
Vida de la Virgen,Santos Inocentes,Mariología,0.27%,6,
Vida de la Virgen,Tránsito de la Virgen y Dormición,Mariología,2.52%,57,
Vida de la Virgen,Visitación,Mariología,2.79%,63,
