,pais,Participación,conteo
Tipos de soporte,Acuarela sobre marfil,0.40%,3.0
,Biombo Óleo Tela,3.36%,25.0
,Grabado en hojalata,0.13%,1.0
,Grabado en seda,0.13%,1.0
,Grabado iluminado,0.13%,1.0
,Nulo,13.56%,101.0
,Pintura mural,6.31%,47.0
,SD,0.94%,7.0
,Sepia sobre marfil,0.13%,1.0
,Tabla Enconchada,0.27%,2.0
,Tinta sobre papel,0.13%,1.0
,Técnica mixta sobre tela,0.13%,1.0
,Óleo en papel sobre madera,0.13%,1.0
,Óleo madera techo,3.09%,23.0
,Óleo sobre Papel,0.40%,3.0
,Óleo sobre cobre,0.13%,1.0
,Óleo sobre grabado,0.13%,1.0
,Óleo sobre lámina,2.42%,18.0
,Óleo sobre madera,4.83%,36.0
,Óleo sobre tela,63.22%,471.0
