,pais,Participación,conteo
Símbolos,Agnus Dei,2.42%,18.0
,Agua,6.04%,45.0
,Alas,12.08%,90.0
,Alba,0.13%,1.0
,Alfiler,0.13%,1.0
,Altar,1.21%,9.0
,Anagrama,2.15%,16.0
,Anagrama ihs,3.49%,26.0
,Ancla,1.34%,10.0
,Animales,8.46%,63.0
,Animas del purgatorio,0.13%,1.0
,Antorcha,1.61%,12.0
,Arca de la alianza,0.54%,4.0
,Arco,2.42%,18.0
,Arco iris,0.27%,2.0
,Arcángel,0.27%,2.0
,Arma,0.40%,3.0
,Armadillo,0.13%,1.0
,Armadura,2.28%,17.0
,Arpa,2.42%,18.0
,Asno,0.13%,1.0
,Astrología,3.89%,29.0
,Aureola,16.24%,121.0
,Aureola de rayos,25.23%,188.0
,Aves,5.50%,41.0
,Azadón,0.13%,1.0
,Azucenas,11.54%,86.0
,Balanza,2.01%,15.0
,Bandera,7.25%,54.0
,Barco,1.07%,8.0
,Barril,0.13%,1.0
,Bastón,1.61%,12.0
,Bestia,0.54%,4.0
,Bestias,0.54%,4.0
,Biblia,0.81%,6.0
,Boca sellada con candado,0.27%,2.0
,Bolsa de monedas,0.94%,7.0
,Botella,0.13%,1.0
,Buey,0.54%,4.0
,Burro,0.13%,1.0
,Báculo,1.88%,14.0
,Búho,0.54%,4.0
,Caballo,0.67%,5.0
,Cabeza,0.13%,1.0
,Cabra,0.13%,1.0
,Cadena,1.48%,11.0
,Cadáver,0.13%,1.0
,Caimán,0.27%,2.0
,Cajón,0.13%,1.0
,Cama,0.54%,4.0
,Camello,0.67%,5.0
,Camino,0.67%,5.0
,Campana,0.40%,3.0
,Canasta,0.27%,2.0
,Candelabro,0.27%,2.0
,Capa,0.94%,7.0
,Carro de triunfo,1.21%,9.0
,Casco,1.07%,8.0
,Castillo,0.54%,4.0
,Casulla,0.94%,7.0
,Caverna,0.40%,3.0
,Cayado,1.34%,10.0
,Caña,1.34%,10.0
,Cena,0.13%,1.0
,Cetro,7.11%,53.0
,Cetro florido,0.13%,1.0
,Charitas,0.81%,6.0
,Chelo,0.40%,3.0
,Ciervo,0.67%,5.0
,Ciprés,0.94%,7.0
,Cisne,0.13%,1.0
,Ciudad,1.34%,10.0
,Ciudad de dios,0.40%,3.0
,Clavel,0.40%,3.0
,Clavos,3.49%,26.0
,Columna,5.50%,41.0
,Comida,0.54%,4.0
,Concha,0.40%,3.0
,Copa,2.82%,21.0
,Copón y ostia,0.13%,1.0
,Corazón,9.13%,68.0
,Corazón flameante,8.32%,62.0
,Cordero,5.64%,42.0
,Cordón,0.13%,1.0
,Cornucopia,1.48%,11.0
,Corona,15.30%,114.0
,Corona de espinas,9.66%,72.0
,Corona de flores,5.91%,44.0
,Corona de laurel,2.95%,22.0
,Corte celestial,0.13%,1.0
,Cortinas,0.81%,6.0
,Cosecha de trigo,0.54%,4.0
,Cristo crucificado,5.10%,38.0
,Crucifijo,4.43%,33.0
,Cruz,23.36%,174.0
,Cruz con serpiente,0.13%,1.0
,Cruz papal,3.49%,26.0
,Cráneo,1.61%,12.0
,Cuatro plumas,0.27%,2.0
,Cuchillo,0.67%,5.0
,Cuerda,0.13%,1.0
,Cuna,0.13%,1.0
,Custodia,6.17%,46.0
,Cáliz,5.77%,43.0
