,pais,Participación,conteo
Gestos,00 Gesto sin registro,4.01%,23.0
,00 Objetos en las manos,85.37%,490.0
,01 Posición: de Pie,83.62%,480.0
,02 Posición: Sentado,4.01%,23.0
,03 Posición: Arrodillado,3.48%,20.0
,04 Posición: Postrado / agachado,6.97%,40.0
,05 Posición: de Pie inclinado,4.01%,23.0
,06 Posición: Otros tipos,1.22%,7.0
,"08 QL1 2 oro - Rogar, súplica, misericordia",6.27%,36.0
,"08a QL1 1 supplico - Rogar, solicitar, implorar",0.17%,1.0
,"08a QN1 22 Addubitabit - Acción grande para quienes se someten, invocan, dudan, imploran o dan testimonio.",0.35%,2.0
,"09 QL1 3 Ploro (lloro) - Dolobit : Condolerse, pena, dolor",0.35%,2.0
,"13 QL1 13 Libertatem resigno (renuncio a mi libertad) - Acción de entregarse, renunciar a sí por otro.",0.17%,1.0
,"17 QL2 07 Confido - Confianza, afecto y amistad en una persona",0.17%,1.0
,"18 QL2 18 Data Fide promitto (Comprometo mi fe) - a pesar de dificultad, confirman compromiso, tregua, promesa.",3.14%,18.0
,19 QN1 17 Benevolentiam Ofrendit - Declara benevolencia,0.87%,5.0
,20 QN1 15 Antithesis exornat - Disponibilidad a la adversidad,0.17%,1.0
,"21 QN1 19 Imensitatem aperit - Inmensidad o infinitud de las cosas, el espacio o la divinidad",0.17%,1.0
,"22 QN1 21 Execratione repellit - aborrecer, expresar odio",0.35%,2.0
,22a QL1 18 assevero (con asevera llamo a Dios por testigo)- Doble juramento,0.17%,1.0
,"22b QL1 4 Admiror - Admiración, asombro, Turbación. Expresa alabanza.",1.05%,6.0
,23A brazos cruzados,1.92%,11.0
,"25 QL1 17 Iuro - Poner a Dios por testigo, juramento.",0.17%,1.0
,26 QN1 14 Exclamationem aptat. Exclamación de congratulación y/o alegría.,1.05%,6.0
,"27 QL1 15 Triumpho - Exaltación, triunfo, arrebato de alegría.",0.35%,2.0
,"27a QL1 14 Protego. Generosa confianza, exhortación, instruye, pone orden.",0.70%,4.0
,"28 QL1 19 Suffragor - Aprobar, elegir, obediencia, inclinación voluntaria.",1.22%,7.0
,29 QN1 06 Admiratur - Admiración,1.22%,7.0
,"30 QN1 07 Herbatur - Aclamar, exhortar, animar",1.39%,8.0
,"31 QL2 15 Conscienter affirmo (Afirmo mi conciencia) - Afirmar, jurar sin reservas, poner a Dios por testigo.",2.61%,15.0
,"33 QL2 03 Irascor (enojado) - Impaciente, triste mentalmente o enojado.",0.87%,5.0
,"34 QL2 24 Benedico - bendecir, absolver, perdón, consagrar, sanar.",2.26%,13.0
,"36 QN3 05 aprobabit - Acción de aprobar, distinguido, elocución pomposa.",0.87%,5.0
,37 QN3 07 Distinguet - Acción predicativa para numerar dos o tres puntos.,0.70%,4.0
,"39 QN1 01 Pacificat - Pacificar, genetrosa autoridad, capacidad para efectuar una cosa, demandar silencio.",0.17%,1.0
,"40 QL1 16 Silentium postulo (Exijo silencio) - Devoción, súplica de silencio, meditación.",0.17%,1.0
,"42 QL1 22 Dimitto (Rechazar) - Prohibir, rechazar oferta, despedir, mantener afuera.",0.87%,5.0
,43 QN1 03 Neoteticis orditur - Forma de súplica (ret.),3.48%,20.0
,"45 QN1 05 Modus agendi - Fuerza a un discurso, voluntad benévola",2.26%,13.0
,47 QN1 13 Pspicuitatem illustrat - Perspicacia,0.52%,3.0
,48 QN1 08 Rationes profert - Mostrar razones o argumentaciones importantes,1.39%,8.0
,"49 QL1 21 Invito - acción de invitar a dialogo, atracción",1.57%,9.0
,"52 QN1 12 Negabit - Acción de aborrecer, detestar, ahuyentar, rechazar",3.14%,18.0
,"52a QL1 20 Resp uo (Rechazo) - Repudiar, denegar, prohibir, rechazar, desprecio.",2.26%,13.0
,"53 QL2 06 Pugno (peleo) - Venganza, justicia por mano propia",0.17%,1.0
,"54 QL2 16 Paenitentia ostendo (Mostrar contrición) - Expresión de dolor, contrición, vergüenza, arrepentimiento.",0.17%,1.0
,"55 QL1 23 Minor (Amenazar) - Enojo, amenaza, sembrar terror, venganza, mostrar hostilidad, odio.",0.17%,1.0
,"57 QL3 07 Teriorem incutio - Gesto de Amenaza, reprensión",3.66%,21.0
,"59 QN3 13 Attentionem pescit - Espera con atención, revela ansia.",1.92%,11.0
,"60 QL3 06 QN3 XX Indico-Indigitat (Señalo) - Gesto de mando, orden, indicar, reprender, advertir.",4.70%,27.0
,62 QN3 18 Leviter Tangit - Manejar un asunto retórico de manera leve.,3.31%,19.0
,"63 QL3 08 Silentium indico (Mostrar silencio) - Convicción, vergüenza, ignorancia, admiración, asombro",0.35%,2.0
,Sin datos,3.31%,19.0
,"Zw 44 QN1 04 ad Monstrandir valet - Buena voluntad, acción benévola (x QN1 03)",0.52%,3.0
,Zw 58 QN3 12 Indigitat - mostrar (x indico),0.52%,3.0
,Zw38 QL3 10 Compello (convoco) - gesto de invitación (x invito),1.92%,11.0
