,pais,Participación,conteo
Nombre artista,Alonso Vera de la Cruz,0.17%,1.0
,Andrés de la Concha,0.17%,1.0
,Angelino Medoro,0.17%,1.0
,Antonio Mermejo,0.17%,1.0
,Antonio de Santander,0.17%,1.0
,Antônio Simões Ribeiro,0.52%,3.0
,Anónimo,76.83%,441.0
,Baltasar Vargas de Figueroa,1.57%,9.0
,Baltasar de Echave y Rioja,0.17%,1.0
,Bartolomé Román,1.22%,7.0
,Basilio de Santa Cruz Pumacallao,0.17%,1.0
,Benjamin West,0.17%,1.0
,Bernardo Rodríguez quiteño,0.17%,1.0
,Cristóbal de Villalpando,0.70%,4.0
,Diego Quispe Tito,0.17%,1.0
,Diego de la Puente,0.35%,2.0
,Francisco Albán,1.22%,7.0
,Francisco Antonio Vallejo,0.35%,2.0
,Francisco José de Lerma y Villegas,0.35%,2.0
,Francisco de Zurbarán,0.17%,1.0
,Gabriel Ugarte,0.17%,1.0
,Gaspar Miguel de Berrío,0.17%,1.0
,Gregorio Vásquez de Arce y Ceballos,1.22%,7.0
,Isabel de Santiago,0.17%,1.0
,Jesuino do Monte Carmelo,0.35%,2.0
,José Cortés de Alcocer,0.17%,1.0
,José Joaquim da Rocha,0.52%,3.0
,José Ortiz,0.35%,2.0
,José Rodríguez Carnero,0.17%,1.0
,José Soares de Araújo,0.17%,1.0
,José Teóphilo de Jesús,0.17%,1.0
,José de Páez,0.35%,2.0
,Juan Correa,3.31%,19.0
,"Juan Correa, hijo",0.17%,1.0
,Juan Francisco de Aguilera,0.17%,1.0
,Juan José Jurado,0.17%,1.0
,Juan Pedro López,0.87%,5.0
,Juan Rubí de Miramón,0.52%,3.0
,Leonardo Flores,0.52%,3.0
,Lucas Rodríguez,0.17%,1.0
,Luis Berrueco,0.17%,1.0
,Luis Correa,0.17%,1.0
,Luis Juárez,0.35%,2.0
,Luis de Riaño,0.17%,1.0
,Manoel da Costa Ataíde,0.70%,4.0
,Manuel Marimón,0.17%,1.0
,Manuel de Arellano,0.17%,1.0
,Martín de Vos,0.35%,2.0
,Melchor Pérez de Holguín,0.52%,3.0
,Miguel Cabrera,0.70%,4.0
,Miguel de Herrera,0.35%,2.0
,Rebolledo,0.17%,1.0
,SD,0.52%,3.0
,Sebastián López de Arteaga,0.17%,1.0
,Simón Pereyns,0.17%,1.0
,Washington Allston,0.17%,1.0
