,pais,Participación,conteo
Escenario,Celeste,0.65%,3.0
,Celeste / Escatológico,0.43%,2.0
,Celeste / Terrestre,26.72%,124.0
,Escenario Simbólico,0.43%,2.0
,Sin datos,2.59%,12.0
,Sin definir,4.96%,23.0
,Sin definir - Claroscuro,1.94%,9.0
,Terrestre / Ciudad - poblado,26.72%,124.0
,Terrestre / Interior casa-habitación,11.21%,52.0
,Terrestre / Interior templo,3.45%,16.0
,Terrestre / cortinaje,0.22%,1.0
,Terrestre / interior - paisaje,0.22%,1.0
,Terrestre / paisaje,18.97%,88.0
,Terrestre otro,1.51%,7.0
