,pais,Participación,conteo
Símbolos,Accidente,1.29%,6.0
,Agua,0.65%,3.0
,Alas,0.22%,1.0
,Alma,0.22%,1.0
,Altar,12.50%,58.0
,Animales,1.72%,8.0
,Aparición,5.60%,26.0
,Apóstol,0.22%,1.0
,Arcabuz,0.86%,4.0
,Arco,0.86%,4.0
,Arco y carcaj,3.66%,17.0
,Arma,0.43%,2.0
,Armadura,11.21%,52.0
,Aureola,0.22%,1.0
,Aves,0.43%,2.0
,Bandera,3.45%,16.0
,Barco,7.54%,35.0
,Bastón,0.43%,2.0
,Batalla,7.54%,35.0
,Bautismo,1.08%,5.0
,Biblia,1.08%,5.0
,Burguesía,0.22%,1.0
,Caballete,0.22%,1.0
,Caballo,7.54%,35.0
,Cadena,0.43%,2.0
,Cadáver,0.22%,1.0
,Calamidad,1.51%,7.0
,Cama,1.08%,5.0
,Caridad,0.22%,1.0
,Carro de triunfo,0.43%,2.0
,Casa,0.86%,4.0
,Casulla,0.22%,1.0
,Cañón,0.43%,2.0
,Ceremonia,2.59%,12.0
,Cetro,0.86%,4.0
,Cielo,0.86%,4.0
,Cirios,0.86%,4.0
,Ciudad,22.41%,104.0
,Clero,4.53%,21.0
,Collar,0.43%,2.0
,Comida,0.43%,2.0
,Confesión,0.22%,1.0
,Contrato,0.65%,3.0
,Convento,0.86%,4.0
,Copón y ostia,1.08%,5.0
,Corona,2.16%,10.0
,Corona de espinas,0.43%,2.0
,Corte celestial,0.22%,1.0
,Cortejo fúnebre,0.43%,2.0
,Costumbres,0.86%,4.0
,Cristo crucificado,2.80%,13.0
,Crucifijo,4.09%,19.0
,Cruz,5.17%,24.0
,Cruz papal,0.65%,3.0
,Cuchillo,0.43%,2.0
,Curación,0.86%,4.0
,Custodia,2.37%,11.0
,Cáliz,0.22%,1.0
,Cántaro,0.22%,1.0
,Cíngulo,0.22%,1.0
,Decapitación,0.65%,3.0
,Demonio,1.51%,7.0
,Devoción,11.42%,53.0
,Dios,0.22%,1.0
,Disciplina,0.43%,2.0
,Encuentro,0.65%,3.0
,Enfermedad,2.16%,10.0
,Entrada,0.65%,3.0
,Escapulario,0.43%,2.0
,Escudo,8.84%,41.0
,Espada,8.62%,40.0
,Espinas,0.22%,1.0
,Espíritu santo,0.86%,4.0
,Estandarte,0.65%,3.0
,Estrella,0.22%,1.0
,Eucaristía,0.86%,4.0
,Familia,0.22%,1.0
,Flagelantes,0.22%,1.0
,Flechas,1.51%,7.0
,Flores,0.65%,3.0
,Fruta,0.22%,1.0
,Frutos,0.22%,1.0
,Fuego,0.22%,1.0
,Fuente,0.22%,1.0
,Fuerza,0.43%,2.0
,Habito eclesiástico,0.43%,2.0
,Hacha,0.22%,1.0
,Hisopo,0.43%,2.0
,Honor,2.37%,11.0
,Hostia,0.43%,2.0
,Iglesia,11.42%,53.0
,Incensario,0.22%,1.0
,Instrumentos de castigo,0.65%,3.0
,Instrumentos de disciplina,0.86%,4.0
,Instrumentos musicales,0.22%,1.0
,Jardín,0.43%,2.0
,Jarra,0.22%,1.0
,Jerarquía eclesiástica,0.65%,3.0
,Joyas,0.22%,1.0
,Juicio,0.22%,1.0
,"Justicia
Libro",0.22%,1.0
,Lanza,4.53%,21.0
,Libro,2.37%,11.0
,Linaje,0.65%,3.0
,Luz,0.22%,1.0
,Manto,0.22%,1.0
,Mar,0.65%,3.0
,Masacre,0.22%,1.0
,Matrimonio,1.29%,6.0
,Media luna,0.22%,1.0
,Mitra,0.65%,3.0
,Monasterio,0.22%,1.0
,Montaña,0.65%,3.0
,Muerte,4.53%,21.0
,Mundo,0.65%,3.0
,Musulmán,0.65%,3.0
,Niños,0.22%,1.0
,Nobleza,1.08%,5.0
,Noche,0.43%,2.0
,Nube,0.22%,1.0
,Ofrenda,0.22%,1.0
,Orbe,0.86%,4.0
,Padre Eterno,0.22%,1.0
,Paisaje,0.43%,2.0
,Palma,1.29%,6.0
,Palma del martirio,0.22%,1.0
,Paloma,0.43%,2.0
,Pelícano,0.22%,1.0
,Piedad,0.43%,2.0
,Piedra,0.22%,1.0
,Pila bautismal,0.65%,3.0
,Pincel,0.43%,2.0
,Plaza,1.94%,9.0
,Pluma,0.43%,2.0
,Pobreza (mendigo),0.65%,3.0
,Procesión,8.41%,39.0
,Pueblo,2.80%,13.0
,Pájaro,0.43%,2.0
,Ramas,0.22%,1.0
,Rebelión,0.43%,2.0
,Rendición,2.16%,10.0
,Ritual,1.29%,6.0
,Rompimiento de gloria,0.22%,1.0
,Rosas,0.43%,2.0
,Rostros,0.22%,1.0
,Rueca,0.22%,1.0
,Rueda,0.22%,1.0
,Sangre,0.43%,2.0
,Santos,0.22%,1.0
,Seno al descubierto,0.22%,1.0
,Servicio,1.51%,7.0
,"Servicio
Trabajo",1.29%,6.0
,Sin datos,0.86%,4.0
,Soldados,5.39%,25.0
,Sombrero,0.22%,1.0
,Sucesión,0.22%,1.0
,Sábana,0.86%,4.0
,Símbolos de la pasión,0.43%,2.0
,Temor,0.22%,1.0
,Templete,0.22%,1.0
,Torre,0.22%,1.0
,Trabajo,0.86%,4.0
,Tratado,0.86%,4.0
,Tribunal,0.22%,1.0
,Trinidad,0.43%,2.0
,Triunfo,0.22%,1.0
,Triángulo equilátero,0.22%,1.0
,Tótem,0.22%,1.0
,Vela,0.22%,1.0
,Ventana,0.43%,2.0
,Vihuela,0.65%,3.0
,Violencia,0.22%,1.0
,Violín,0.22%,1.0
,"Virgen
Nobleza",11.85%,55.0
,Águila,0.22%,1.0
,Ángeles,9.05%,42.0
,Árbol,6.47%,30.0
,Órgano,0.22%,1.0
