,pais,Participación,conteo
Personajes,Adán y Eva,2.22%,2.00
,Agnus Dei,1.11%,1.00
,"Ana, Santa",1.11%,1.00
,Antonio de Padua,1.11%,1.00
,Arcángel Miguel,4.44%,4.00
,Cecilia Santa,1.11%,1.00
,Cristo,3.33%,3.00
,Demonio - Diablo - Satanás,15.56%,14.00
,Dios,11.11%,10.00
,Domingo de Guzmán,2.22%,2.00
,Duns Scoto,1.11%,1.00
,Espiritu santo,2.22%,2.00
,Francisco de Asís San,1.11%,1.00
,"Ignacio de Loyola, San",8.89%,8.00
,Jerónimo San,1.11%,1.00
,Jesús,20.00%,18.00
,"José, San",1.11%,1.00
,Juan Bautista,3.33%,3.00
,Juan Nepomuceno,1.11%,1.00
,Nicolas de Tolentino,2.22%,2.00
,Pablo Apóstol,1.11%,1.00
,Pedro Apóstol,1.11%,1.00
,Profeta,1.11%,1.00
,Querubines,1.11%,1.00
,San Francisco,2.22%,2.00
,San José,1.11%,1.00
,San Juan Evangelista,4.44%,4.00
,Santisima Trinidad,1.11%,1.00
,Sin datos,63.33%,57.00
,Trinidad,6.67%,6.00
,sor María de Jesús Agreda,6.67%,6.00
,Ángel,23.33%,21.00
