,pais,Participación,conteo
Símbolos,Agnus Dei,4.44%,4.00
,Agua,2.22%,2.00
,Alba,11.11%,10.00
,Altar,1.11%,1.00
,Ancla,1.11%,1.00
,Animales,12.22%,11.00
,Antorcha,1.11%,1.00
,Arco,1.11%,1.00
,Arco iris,1.11%,1.00
,Arpa,3.33%,3.00
,Aureola,11.11%,10.00
,Aureola de rayos,18.89%,17.00
,Aves,3.33%,3.00
,Azucenas,1.11%,1.00
,Balanza,3.33%,3.00
,Bandera,6.67%,6.00
,Barco,1.11%,1.00
,Bastón,3.33%,3.00
,Biblia,11.11%,10.00
,Báculo,6.67%,6.00
,Cabeza,2.22%,2.00
,Cadena,3.33%,3.00
,Cama,1.11%,1.00
,Candelabro,3.33%,3.00
,Capa,7.78%,7.00
,Cerdo,1.11%,1.00
,Ciervo,1.11%,1.00
,Ciudad miniatura,2.22%,2.00
,Clavos,1.11%,1.00
,Columna,3.33%,3.00
,Comida,1.11%,1.00
,Copa,5.56%,5.00
,Copón y ostia,1.11%,1.00
,Corazón,8.89%,8.00
,Corazón flameante,1.11%,1.00
,Cordero,4.44%,4.00
,Corona,17.78%,16.00
,Corona de espinas,3.33%,3.00
,Corona de flores,3.33%,3.00
,Corona de laurel,1.11%,1.00
,Cortina roja,1.11%,1.00
,Cortinas,2.22%,2.00
,Cristo crucificado,10.00%,9.00
,Crucifijo,15.56%,14.00
,Cruz,18.89%,17.00
,Cráneo,8.89%,8.00
,Cuerda,2.22%,2.00
,Cíngulo,1.11%,1.00
,Daga,2.22%,2.00
,Demonio,15.56%,14.00
,Dios,1.11%,1.00
,Dragón,1.11%,1.00
,Elefante,2.22%,2.00
,Escalera,3.33%,3.00
,Escudo,4.44%,4.00
,Esfera,16.67%,15.00
,Espada,8.89%,8.00
,Espíritu santo,15.56%,14.00
,Esqueleto,3.33%,3.00
,Estrella,4.44%,4.00
,Eucaristía,1.11%,1.00
,Flechas,1.11%,1.00
,Flores,8.89%,8.00
,Fruta,2.22%,2.00
,Frutas,2.22%,2.00
,Fuego,7.78%,7.00
,Fuente,1.11%,1.00
,Gallo,1.11%,1.00
,Guante,1.11%,1.00
,Herramientas,1.11%,1.00
,Hoja de papel,1.11%,1.00
,Huesos,1.11%,1.00
,Humo,2.22%,2.00
,Iglesia,1.11%,1.00
,Indígena,1.11%,1.00
,Instrumentos de castigo,2.22%,2.00
,Instrumentos de disciplina,2.22%,2.00
,Instrumentos musicales,2.22%,2.00
,Jardín,2.22%,2.00
,Jardín cerrado,1.11%,1.00
,Jesús,3.33%,3.00
,Joyas,1.11%,1.00
,Juicio,1.11%,1.00
,Lanza,2.22%,2.00
,Laurel,1.11%,1.00
,Laúd,1.11%,1.00
,Leopardo,1.11%,1.00
,León,3.33%,3.00
,Libro,20.00%,18.00
,Lirio,2.22%,2.00
,Llave,1.11%,1.00
,Los vicios,1.11%,1.00
,Lámpara,2.22%,2.00
,Látigo,1.11%,1.00
,Mano,1.11%,1.00
,Manto de piel de animal,1.11%,1.00
,Manzanas,1.11%,1.00
,Martillo,2.22%,2.00
,Muerte,8.89%,8.00
,Muertos,2.22%,2.00
,Máscara,1.11%,1.00
,Nimbo de luz,2.22%,2.00
,Nube,21.11%,19.00
,Orbe,1.11%,1.00
,Padre Eterno,2.22%,2.00
,Palma del martirio,2.22%,2.00
,Paloma,15.56%,14.00
,Pavo real,1.11%,1.00
,Pañuelo,2.22%,2.00
,Perro,2.22%,2.00
,Pez,2.22%,2.00
,Piedad,1.11%,1.00
,Pluma,10.00%,9.00
,Pájaro,1.11%,1.00
,Querubín(es),1.11%,1.00
,Rayo,2.22%,2.00
,Rompimiento de gloria,6.67%,6.00
,Rosario,3.33%,3.00
,Rueda,1.11%,1.00
,Sangre,1.11%,1.00
,Santos,1.11%,1.00
,Sello,2.22%,2.00
,Serpiente,3.33%,3.00
,Sombrero,4.44%,4.00
,Templo,1.11%,1.00
,Toro,2.22%,2.00
,Triángulo equilátero,1.11%,1.00
,Trompeta,1.11%,1.00
,Trompeta juico final,2.22%,2.00
,Vasija,2.22%,2.00
,Vela,12.22%,11.00
,Vino,1.11%,1.00
,Violín,1.11%,1.00
,Virgen María,2.22%,2.00
,Ángeles,44.44%,40.00
,Árbol,5.56%,5.00
,Árbol de la vida,1.11%,1.00
,Órgano,1.11%,1.00
