c1,c2,c3,,,v
Mística y Moral,Mística y devociones, ,Mística y Moral,86.27%,44
,,Monja Agreda,Mística y Moral,13.73%,7
,Moral pecado y redención, ,Mística y Moral,48.72%,19
,,Estados del alma,Mística y Moral,35.90%,14
,,Redención,Mística y Moral,15.38%,6
