c1,c2,c3,,,v
Temas seculares,Barcos, ,Temas seculares,100.00%,13
,Biombos, ,Temas seculares,100.00%,58
,Cacería, ,Temas seculares,100.00%,14
,Castas, ,Temas seculares,0.50%,2
,Castas,Albarazado,Temas seculares,4.46%,18
,Castas,Barsino,Temas seculares,3.71%,15
,Castas,Blanco,Temas seculares,0.99%,4
,Castas,Calpamulato,Temas seculares,2.23%,9
,Castas,Cambujo,Temas seculares,4.21%,17
,Castas,Castizo-Español,Temas seculares,6.19%,25
,Castas,Chamiso,Temas seculares,1.73%,7
,Castas,Chino,Temas seculares,1.98%,8
,Castas,Coyote,Temas seculares,4.46%,18
,Castas,Español-Albino,Temas seculares,4.95%,20
,Castas,Español-Indio,Temas seculares,8.66%,35
,Castas,Español-Morisco,Temas seculares,6.68%,27
,Castas,Español-Negro,Temas seculares,7.18%,29
,Castas,Grifo,Temas seculares,0.25%,1
,Castas,Indio,Temas seculares,9.16%,37
,Castas,Indio-Lobo,Temas seculares,0.50%,2
,Castas,Mestizo-Español,Temas seculares,7.43%,30
,Castas,Mulato-Español,Temas seculares,6.19%,25
,Castas,Mulato-Mestizo,Temas seculares,0.74%,3
,Castas,Negro,Temas seculares,0.74%,3
,Castas,Negro-Indio,Temas seculares,4.70%,19
,Castas,Negro-Mulata,Temas seculares,0.25%,1
,Castas,Tente en el aire,Temas seculares,1.98%,8
,Castas,Todas las Castas,Temas seculares,7.18%,29
,Castas,Torna atrás,Temas seculares,0.50%,2
,Castas,Zambaigo,Temas seculares,2.48%,10
,Clásicos y mitológicos, ,Temas seculares,100.00%,83
,Defensas de tesis, ,Temas seculares,100.00%,11
,Dibujos y cuerpo, ,Temas seculares,100.00%,8
,Escenas cotidiana, ,Temas seculares,86.79%,92
,Escenas cotidiana,Danza,Temas seculares,3.77%,4
,Escenas cotidiana,Vida capuchinas,Temas seculares,9.43%,10
,Escudos, ,Temas seculares,100.00%,15
,Naturaleza muerta, ,Temas seculares,100.00%,25
,Paisaje, ,Temas seculares,100.00%,116
,Vistas Urbanas, ,Temas seculares,100.00%,49
