c1,c2,c3,,,v
Temas seculares,Barcos, ,Temas seculares,100.00%,7.0
,Cacería, ,Temas seculares,100.00%,4.0
,Clásicos y mitológicos, ,Temas seculares,100.00%,28.0
,Dibujos y cuerpo, ,Temas seculares,100.00%,6.0
,Escenas cotidiana, ,Temas seculares,96.67%,29.0
,Escenas cotidiana,Danza,Temas seculares,3.33%,1.0
,Escudos, ,Temas seculares,100.00%,2.0
,Naturaleza muerta, ,Temas seculares,100.00%,19.0
,Paisaje, ,Temas seculares,100.00%,106.0
,Vistas Urbanas, ,Temas seculares,100.00%,10.0
