,pais,Participación,conteo
Símbolos,Abanico,1.33%,12.0
,Agnus Dei,0.11%,1.0
,Agua,21.40%,193.0
,Aguja,1.11%,10.0
,Alas,3.33%,30.0
,Alba,0.33%,3.0
,Alfiler,0.11%,1.0
,Altar,0.67%,6.0
,Anagrama ihs,0.22%,2.0
,Ancla,0.22%,2.0
,Anillo,0.55%,5.0
,Anillos,0.22%,2.0
,Animales,15.63%,141.0
,Antorcha,0.67%,6.0
,Aparición,0.11%,1.0
,Arco,1.44%,13.0
,Arco iris,0.44%,4.0
,Arco y carcaj,4.10%,37.0
,Arcángel,0.44%,4.0
,Arma,3.88%,35.0
,Armadillo,0.11%,1.0
,Armadura,4.21%,38.0
,Arpa,0.67%,6.0
,Asno,0.11%,1.0
,Ataud,0.11%,1.0
,Aureola,1.11%,10.0
,Aureola de rayos,0.67%,6.0
,Aureola triangular,0.11%,1.0
,Aves,13.08%,118.0
,Azadón,0.55%,5.0
,Balanza,0.33%,3.0
,Bandeja,1.11%,10.0
,Bandera,5.21%,47.0
,Bandera marina española,0.22%,2.0
,Banquete,0.11%,1.0
,Barco,8.65%,78.0
,Barril,1.11%,10.0
,Bastón,5.10%,46.0
,Bastón con flores,0.22%,2.0
,Batalla,1.33%,12.0
,Bebé,5.21%,47.0
,Biblia,0.44%,4.0
,Bolsa de monedas,0.22%,2.0
,Bosque,0.44%,4.0
,Bote,5.32%,48.0
,Botella,1.22%,11.0
,Brocados,0.11%,1.0
,Buey,1.88%,17.0
,Burro,1.44%,13.0
,Báculo,0.22%,2.0
,Búho,0.22%,2.0
,Caballo,11.31%,102.0
,Cabeza,0.22%,2.0
,Cabeza degollada,0.11%,1.0
,Cabra,0.11%,1.0
,Cadena,0.44%,4.0
,Cadáver,0.55%,5.0
,Cajón,0.11%,1.0
,Calamidad,0.11%,1.0
,Caldero,0.44%,4.0
,Cama,1.22%,11.0
,Camello,0.22%,2.0
,Camino,6.10%,55.0
,Campana,0.11%,1.0
,Canasta,11.20%,101.0
,Canasta con huevos,0.33%,3.0
,Canasta con palomas,0.11%,1.0
,Canasta con tela,0.11%,1.0
,Canasta de Flores,0.33%,3.0
,Candelabro,0.67%,6.0
,Capa,13.75%,124.0
,Capa amarilla,0.22%,2.0
,Capa azul,0.44%,4.0
,Capa real,0.11%,1.0
,Capa roja,1.44%,13.0
,Carro de triunfo,0.44%,4.0
,Cartas,0.89%,8.0
,Casa,12.20%,110.0
,Cascada,2.44%,22.0
,Casco,2.11%,19.0
,Castillo,1.33%,12.0
,Catalejo,0.22%,2.0
,Caña,0.44%,4.0
,Cañón,1.00%,9.0
,Celosía,0.11%,1.0
,Centauro,0.22%,2.0
,Cerdo,0.11%,1.0
,Cetro,1.77%,16.0
,Cetro florido,0.11%,1.0
,Chimenea,0.89%,8.0
,Choza,0.44%,4.0
,Cielo,17.74%,160.0
,Ciervo,0.55%,5.0
,Cincel,0.22%,2.0
,Cintas,0.89%,8.0
,Cirios,0.11%,1.0
,Cisne,0.22%,2.0
,Ciudad,8.09%,73.0
,Ciudad de dios,0.11%,1.0
,Ciudad miniatura,1.77%,16.0
