,pais,Participación,conteo
Gestos,00 Gesto sin registro,1.77%,102
,00 Imagen sin relato quiro-lógico/nómico,0.52%,30
,00 Objetos en las manos,70.36%,4045
,01 Posición: de Pie,48.23%,2773
,02 Posición: Sentado,21.93%,1261
,03 Posición: Arrodillado,23.78%,1367
,04 Posición: Postrado / agachado,3.41%,196
,04A Posición: Acostado / yacente,4.00%,230
,05 Posición: Ecuestre,1.93%,111
,05 Posición: de Pie inclinado,3.32%,191
,06 Posición: Otros tipos,17.32%,996
,06 Posición: Perfil,0.40%,23
,07 Actitud: Alzar,3.81%,219
,07 Actitud: Beso,0.02%,1
,07 QL2 20 A Chare deligo - Tener presente a alguien en el corazón,0.40%,23
,"08 QL1 2 oro - Rogar, súplica, misericordia",10.26%,590
,"08a QL1 1 supplico - Rogar, solicitar, implorar",0.45%,26
,"08a QN1 22 Addubitabit - Acción grande para quienes se someten, invocan, dudan, imploran o dan testimonio.",0.12%,7
,"09 QL1 3 Ploro (lloro) - Dolobit : Condolerse, pena, dolor",2.77%,159
,"11 QL1 8 Despero - Abatimiento, desesperación, miedo",0.77%,44
,"12 QL1 10 Trist animi signo (Angustia mental) - Debilidad, melancolía.",0.47%,27
,"13 QL1 13 Libertatem resigno (renuncio a mi libertad) - Acción de entregarse, renunciar a sí por otro.",0.50%,29
,"16 QL2 02 Auxilium fero - (llevar ayuda) ; Manumit (libero)- Piedad, ayuda al desvalido, liberar.",0.83%,48
,"16a QL2 08 Impedio - Impedir, manifestación colérica, tener obstáculos",0.02%,1
,"17 QL2 07 Confido - Confianza, afecto y amistad en una persona",0.59%,34
,"17a QL2 09 Recomendo - Recomendar o presentar a alguien, cortesía",0.03%,2
,"17a QL2 10 Officiose duco - Cuidar la debilidad, dar seguridad, ayudar",0.12%,7
,"17a QL2 19 Reconcileo - Amistad, tranquilidad, amor, benevolencia, saludo",0.05%,3
,"17b Ql2 6a mano hombro - Incitar, animar.",0.05%,3
,"18 QL2 18 Data Fide promitto (Comprometo mi fe) - a pesar de dificultad, confirman compromiso, tregua, promesa.",6.66%,383
,19 QN1 17 Benevolentiam Ofrendit - Declara benevolencia,0.78%,45
,20 QN1 15 Antithesis exornat - Disponibilidad a la adversidad,1.32%,76
,"21 QN1 19 Imensitatem aperit - Inmensidad o infinitud de las cosas, el espacio o la divinidad",4.04%,232
,"22 QN1 21 Execratione repellit - aborrecer, expresar odio",0.71%,41
,22a QL1 18 assevero (con asevera llamo a Dios por testigo)- Doble juramento,0.35%,20
,22a QN1 24 Benedictione dimmittit - Bendición pública,0.89%,51
,"22b QL1 4 Admiror - Admiración, asombro, Turbación. Expresa alabanza.",1.39%,80
,23A brazos cruzados,4.73%,272
,24 Mano Pecho mano extendida - Mostrar Humildad,0.31%,18
,24 Mano al frente -,0.14%,8
,24 Palma abierta - Acción de entrega,0.66%,38
,24 manos señalando pecho- Exhibir ardor,0.49%,28
,24a QN1 18 Comiserationem denotat - Conmiseración,0.07%,4
,"25 QL1 17 Iuro - Poner a Dios por testigo, juramento.",0.38%,22
,26 QN1 14 Exclamationem aptat. Exclamación de congratulación y/o alegría.,1.22%,70
,"27 QL1 15 Triumpho - Exaltación, triunfo, arrebato de alegría.",0.16%,9
,"27a QL1 14 Protego. Generosa confianza, exhortación, instruye, pone orden.",0.64%,37
,"28 QL1 19 Suffragor - Aprobar, elegir, obediencia, inclinación voluntaria.",1.84%,106
,29 QN1 06 Admiratur - Admiración,1.37%,79
,"30 QN1 07 Herbatur - Aclamar, exhortar, animar",0.66%,38
,"31 QL2 15 Conscienter affirmo (Afirmo mi conciencia) - Afirmar, jurar sin reservas, poner a Dios por testigo.",7.64%,439
,"33 QL2 03 Irascor (enojado) - Impaciente, triste mentalmente o enojado.",1.15%,66
,"34 QL2 24 Benedico - bendecir, absolver, perdón, consagrar, sanar.",3.13%,180
,"36 QN3 05 aprobabit - Acción de aprobar, distinguido, elocución pomposa.",0.66%,38
,37 QN3 07 Distinguet - Acción predicativa para numerar dos o tres puntos.,1.30%,75
,"39 QN1 01 Pacificat - Pacificar, genetrosa autoridad, capacidad para efectuar una cosa, demandar silencio.",0.30%,17
,"40 QL1 16 Silentium postulo (Exijo silencio) - Devoción, súplica de silencio, meditación.",1.01%,58
,"42 QL1 22 Dimitto (Rechazar) - Prohibir, rechazar oferta, despedir, mantener afuera.",0.47%,27
,43 QN1 03 Neoteticis orditur - Forma de súplica (ret.),1.53%,88
,"45 QN1 05 Modus agendi - Fuerza a un discurso, voluntad benévola",0.63%,36
,"46 QL1 24 Mendico (ruego) - disposición de recibir, codiciar",0.35%,20
,"46 QL2 01 Munero (recompenso) - Gerosidad, liberalidad, corazón libre, expresa dones.",0.40%,23
,47 QN1 13 Pspicuitatem illustrat - Perspicacia,0.30%,17
,48 QN1 08 Rationes profert - Mostrar razones o argumentaciones importantes,3.67%,211
,"48a QL2 04 Demonstro no habere (demuestro que no tengo) - No posee nada, ni deseo de poseer",1.01%,58
,49 Mano atrás -,0.05%,3
,"49 QL1 21 Invito - acción de invitar a dialogo, atracción",0.37%,21
,50 Distinguet invertida -,0.38%,22
,"52 QN1 12 Negabit - Acción de aborrecer, detestar, ahuyentar, rechazar",0.80%,46
,"52a QL1 20 Resp uo (Rechazo) - Repudiar, denegar, prohibir, rechazar, desprecio.",1.41%,81
,"53 QL2 06 Pugno (peleo) - Venganza, justicia por mano propia",0.17%,10
,"54 QL2 16 Paenitentia ostendo (Mostrar contrición) - Expresión de dolor, contrición, vergüenza, arrepentimiento.",0.47%,27
,"55 QL1 23 Minor (Amenazar) - Enojo, amenaza, sembrar terror, venganza, mostrar hostilidad, odio.",0.26%,15
,"57 QL3 07 Teriorem incutio - Gesto de Amenaza, reprensión",2.02%,116
,"59 QN3 13 Attentionem pescit - Espera con atención, revela ansia.",1.72%,99
,"60 QL3 06 QN3 XX Indico-Indigitat (Señalo) - Gesto de mando, orden, indicar, reprender, advertir.",3.84%,221
,62 QN3 18 Leviter Tangit - Manejar un asunto retórico de manera leve.,1.37%,79
,"62a QL3 23 Parce do (dar escasamente) - Tacañearía, avaricia, codicia",0.05%,3
,"63 QL3 08 Silentium indico (Mostrar silencio) - Convicción, vergüenza, ignorancia, admiración, asombro",0.47%,27
,"65 QL2 11 Impatientia prodo (demuestro impaciencia) - Angustia, dolor, pena, lamentación",0.16%,9
,"65a QL2 12 Solicite cogito (me obligo por las solicitudes) - Reflexión, angustia o dificultad mental.",0.24%,14
,66 QL2 13 (QN1 09D) Pudet (Vergüenza) - Verguenza,0.03%,2
,67 Frente -,0.07%,4
,"67 Melancolía - Tristeza del alma, pensamiento meditativo.",0.50%,29
,67 QL2 14 Adoro - Actitud de adoración y respeto por alguien. Saludo o despedida.,0.14%,8
,"67 QL2 XL Faveo (estoy a favor)- Humor, afecto, amor, protección.",0.49%,28
,"67a QL3 01 Inventione laboro (trabajo para descubrir) - Gesto de meditación profunda, arrepentimiento, cólera, meditar venganza.",0.03%,2
,"69 QL3 02 Fleo-lloro (lloro) - Desahogo, dolor de alma.",0.26%,15
,"74 QL3 11 Veto (desapruebo) - Dar marcha atrás, retractarse, prohibir.",0.17%,10
,77 QN3 01 Audientiam Facit - Exigir silencio y ganarse a la audiencia.,2.85%,164
,79 QN3 22 Memb Orati distribuit - Enumerar argumentos en predicación.,0.16%,9
,"82 QL3 20 Iram impotente prodo (muestro cólera bereve)  - Impotencia, impaciencia para demostrar sentimiento, garras de indignación.",0.09%,5
,"84 QN3 15 Urge bit - Incita, inculca.",0.12%,7
,"86 QN3 20 Exprobabit - Burla, reproche.",0.12%,7
,Baja calidad imagen y gestos,1.62%,93
,QN1 11 sic oftandobit sic - Acción de señalarse para referirse a sí mismo.,0.02%,1
,QN3 02 Quibusdam Orditur -  Apta para un exordio,0.33%,19
,QN3 24 Contraria distingibit - Usado para distinguir los contrarios.,0.09%,5
,Sin datos,7.43%,427
,"Z35 QL3 24 Numero (cuento) - Enumerar, relación con la inmensidad numérica",0.03%,2
,"ZQL1 11 Innocentia Ofrendo (muestro inocencia) - Probar inocencia, manos limpias",0.03%,2
,"ZQL1 12 Lucri Apprehensione plaudo (aplaudo la toma de dinero) - codicia, engañar para tener beneficios.",0.02%,1
,"ZQL1 6 indignor (indignado) - error, dolor, ira, indignación.",0.03%,2
,"ZQL1 9 Orio indulgeo - (Entregado a Comodidad) - Pereza, relación con el sueño.",0.02%,1
,"ZQL2 22 Reservatione Saluto (saludar con reserva) - Poner la mano para ser besado, acción desdeñosa e indigna, orgullo.",0.03%,2
,ZQL3 09 Redarguo (repruebo) - Acción contraria al silencio. Expresión irónica.,0.02%,1
,"ZQL3 12 Diffidentiam (muestro vacilación) - Escepticismo, satisfacer curiosidad, usar el tacto.",0.02%,1
,"ZQL3 13 Motlitiem pro (traiciono la debilidad) - Inclinación al vicio, imprudencia y afeminación.",0.35%,20
,"ZQL3 15 Contemno (Condeno) - Desprecio a las cosas no rentables, desprecio futilidad de las cosas.",0.02%,1
