c1,c2,c3,,,v
Antiguo Testamento,Ciclo Libros históricos,Conquista de Canaán,Antiguo Testamento,16.84%,16
Antiguo Testamento,Ciclo Libros históricos,Elías – Eliseo,Antiguo Testamento,30.53%,29
Antiguo Testamento,Ciclo Libros históricos,Escenas bíblicas históricas,Antiguo Testamento,4.21%,4
Antiguo Testamento,Ciclo Libros históricos,Esther,Antiguo Testamento,3.16%,3
Antiguo Testamento,Ciclo Libros históricos,Ezequías,Antiguo Testamento,3.16%,3
Antiguo Testamento,Ciclo Libros históricos,Jael y Císara,Antiguo Testamento,3.16%,3
Antiguo Testamento,Ciclo Libros históricos,Jericó,Antiguo Testamento,3.16%,3
Antiguo Testamento,Ciclo Libros históricos,Judith y Holofernes,Antiguo Testamento,6.32%,6
Antiguo Testamento,Ciclo Libros históricos,Macabeos,Antiguo Testamento,2.11%,2
Antiguo Testamento,Ciclo Libros históricos,Reyes de Israel,Antiguo Testamento,23.16%,22
Antiguo Testamento,Ciclo Libros históricos,Sansón,Antiguo Testamento,4.21%,4
Antiguo Testamento,Ciclo Pentateuco,"Adán, Eva y Paraíso",Antiguo Testamento,16.75%,32
Antiguo Testamento,Ciclo Pentateuco,Caín y Abel,Antiguo Testamento,6.81%,13
Antiguo Testamento,Ciclo Pentateuco,Escenas varias del Pentateuco,Antiguo Testamento,4.19%,8
Antiguo Testamento,Ciclo Pentateuco,Historia de Abraham e Isaac,Antiguo Testamento,9.95%,19
Antiguo Testamento,Ciclo Pentateuco,Jacob,Antiguo Testamento,5.24%,10
Antiguo Testamento,Ciclo Pentateuco,La Creación,Antiguo Testamento,8.38%,16
Antiguo Testamento,Ciclo Pentateuco,Moisés,Antiguo Testamento,4.71%,9
Antiguo Testamento,Ciclo Pentateuco,Noé y el Diluvio,Antiguo Testamento,5.76%,11
Antiguo Testamento,Ciclo Pentateuco,Salomón,Antiguo Testamento,4.19%,8
Antiguo Testamento,Ciclo Pentateuco,Saúl y David,Antiguo Testamento,15.71%,30
Antiguo Testamento,Ciclo Pentateuco,Serie Gerson,Antiguo Testamento,9.95%,19
Antiguo Testamento,Ciclo Pentateuco,Tribus de Israel,Antiguo Testamento,8.38%,16
Antiguo Testamento,Ciclo Profetas,Abdías,Antiguo Testamento,1.90%,2
Antiguo Testamento,Ciclo Profetas,Ageo,Antiguo Testamento,0.95%,1
Antiguo Testamento,Ciclo Profetas,Amos,Antiguo Testamento,4.76%,5
Antiguo Testamento,Ciclo Profetas,Baruc,Antiguo Testamento,0.95%,1
Antiguo Testamento,Ciclo Profetas,Daniel,Antiguo Testamento,23.81%,25
Antiguo Testamento,Ciclo Profetas,Ezequiel,Antiguo Testamento,3.81%,4
Antiguo Testamento,Ciclo Profetas,Habacuc,Antiguo Testamento,2.86%,3
Antiguo Testamento,Ciclo Profetas,Isaías,Antiguo Testamento,7.62%,8
Antiguo Testamento,Ciclo Profetas,Jeremías,Antiguo Testamento,7.62%,8
Antiguo Testamento,Ciclo Profetas,Joel,Antiguo Testamento,2.86%,3
Antiguo Testamento,Ciclo Profetas,Jonás,Antiguo Testamento,6.67%,7
Antiguo Testamento,Ciclo Profetas,Malaquías,Antiguo Testamento,2.86%,3
Antiguo Testamento,Ciclo Profetas,Miqueas,Antiguo Testamento,2.86%,3
Antiguo Testamento,Ciclo Profetas,Nahum,Antiguo Testamento,1.90%,2
Antiguo Testamento,Ciclo Profetas,Oseas,Antiguo Testamento,1.90%,2
Antiguo Testamento,Ciclo Profetas,Profetas y Sacerdotes,Antiguo Testamento,14.29%,15
Antiguo Testamento,Ciclo Profetas,Samuel,Antiguo Testamento,3.81%,4
Antiguo Testamento,Ciclo Profetas,Sofonías,Antiguo Testamento,2.86%,3
Antiguo Testamento,Ciclo Profetas,Zacarías,Antiguo Testamento,5.71%,6
Antiguo Testamento,Escenas bíblicas varias, ,Antiguo Testamento,100.00%,12
