,pais,Participación,conteo
Personajes, Alegoria al Cantar de los Cantares,0.25%,1.0
,Aaron,0.50%,2.0
,Abdías,0.50%,2.0
,Abel,2.23%,9.0
,Abigail,0.25%,1.0
,Abraham y Melquisedec,0.25%,1.0
,Achab,0.50%,2.0
,Adán y Eva,9.18%,37.0
,Ageo,0.25%,1.0
,Amos,1.24%,5.0
,Arcángeles,0.25%,1.0
,Aser,0.25%,1.0
,Asá de Judá,0.50%,2.0
,Baruc,0.25%,1.0
,Benjamín,0.25%,1.0
,Caín,2.73%,11.0
,Dalila,0.25%,1.0
,Dan,0.25%,1.0
,Daniel,1.74%,7.0
,David,4.22%,17.0
,David y Saul en el triunfo,0.50%,2.0
,Dios,3.23%,13.0
,Elías,6.95%,28.0
,Esau vende su primogenitura,0.25%,1.0
,Esther,0.74%,3.0
,Ezequiel,1.74%,7.0
,Gad,0.25%,1.0
,Goliat,1.49%,6.0
,Habacuc,0.74%,3.0
,Heliodoro,0.25%,1.0
,Holofernes,0.99%,4.0
,Horno de fuego,0.25%,1.0
,Isaías,2.73%,11.0
,Isboseth,0.25%,1.0
,Issacar,0.25%,1.0
,Jacob,0.74%,3.0
,Jael y Císara,0.74%,3.0
,Jeremías,1.74%,7.0
,Job,0.99%,4.0
,Joel,0.74%,3.0
,Jonás,0.99%,4.0
,Josafat,0.74%,3.0
,Judas Tadeo,0.25%,1.0
,Judith,1.49%,6.0
,La casta Susana en el baño,0.25%,1.0
,Malaquías,0.74%,3.0
,Melquisedec,0.25%,1.0
,Miqueas,0.74%,3.0
,Moisés,1.74%,7.0
,Nahum,0.50%,2.0
,Nephtalí,0.25%,1.0
,Oseas,0.50%,2.0
,Profeta,0.50%,2.0
,Profeta Natan,0.25%,1.0
,Raquel recibe a Tobías,0.50%,2.0
,Rebeca,0.25%,1.0
,Rey Jehu,0.25%,1.0
,Rey Joaquín,0.50%,2.0
,Rey Joram,0.25%,1.0
,Rey Josías,0.25%,1.0
,Rey Manasses,0.50%,2.0
,Rey Nathan,0.25%,1.0
,Rey Salomón,1.24%,5.0
,Rey de Judá,0.74%,3.0
,Reyes y profetas,0.50%,2.0
,Rubén,0.25%,1.0
,Ruth,0.25%,1.0
,Sacerdote Judío,0.25%,1.0
,Samuel,0.99%,4.0
,Sansón,0.99%,4.0
,Saul persigue a los santos,0.25%,1.0
,Sedecías,0.50%,2.0
,Simeón,0.25%,1.0
,,,
,Sofonías,0.74%,3.0
,Sumo sacerdote,0.25%,1.0
,Tribus de Israel: Joseph,0.25%,1.0
,Tribus de Israel: Levi,0.25%,1.0
,Tribus de Israel: Zabulón,0.25%,1.0
,Victoria de David contra Goliat,0.50%,2.0
,Zacarías,1.49%,6.0
