,pais,Participación,conteo
Símbolos,Agua,7.94%,32.00
,Alas,13.90%,56.00
,Altar,5.21%,21.00
,Anillo,0.25%,1.00
,Animales,9.68%,39.00
,Antorcha,0.25%,1.00
,Aparición,0.25%,1.00
,Arca de la alianza,1.24%,5.00
,Arco,0.25%,1.00
,Arco y carcaj,0.50%,2.00
,Armadura,6.20%,25.00
,Arpa,2.73%,11.00
,Arrodillado,0.25%,1.00
,Asiento,0.25%,1.00
,Asno,0.25%,1.00
,Aureola,3.47%,14.00
,"Aureola de luz
Descanso",0.25%,1.00
,Aureola de rayos,6.45%,26.00
,Aves,6.45%,26.00
,Azadón,0.99%,4.00
,Azucenas,0.74%,3.00
,Balanza,0.50%,2.00
,Bandera,3.47%,14.00
,Barco,2.23%,9.00
,Bastón,4.96%,20.00
,Batalla,0.25%,1.00
,Bebé,1.24%,5.00
,Bendición,0.25%,1.00
,Bolsa de monedas,0.25%,1.00
,Bosque,2.23%,9.00
,Buey,2.23%,9.00
,Burro,0.74%,3.00
,Báculo,0.25%,1.00
,Caballo,5.71%,23.00
,Cabeza,2.48%,10.00
,Cabra,0.25%,1.00
,Cadena,1.24%,5.00
,Cadáver,4.47%,18.00
,Caldero,0.25%,1.00
,Cama,1.74%,7.00
,Camello,1.49%,6.00
,Canasta,1.99%,8.00
,Candelabro,1.74%,7.00
,Capa,0.25%,1.00
,Capa amarilla,0.25%,1.00
,Capa real,0.25%,1.00
,Capa roja,0.25%,1.00
,Carro de triunfo,0.25%,1.00
,Casa,1.74%,7.00
,Cascada,0.25%,1.00
,Casco,3.23%,13.00
,Castillo,0.99%,4.00
,Cayado,2.73%,11.00
,Cena,0.50%,2.00
,Cerdo,0.25%,1.00
,Cetro,2.73%,11.00
,Choza,0.25%,1.00
,Cielo,0.74%,3.00
,Cirios,0.25%,1.00
,Ciudad,2.48%,10.00
,Ciudad de dios,3.97%,16.00
,Clavos,0.25%,1.00
,Clero,0.25%,1.00
,Cofres,0.50%,2.00
,Columna,1.24%,5.00
,Comida,3.97%,16.00
,Copa,3.72%,15.00
,Copón y ostia,0.25%,1.00
,Cordero,4.71%,19.00
,Corneta,0.25%,1.00
,Corona,18.36%,74.00
,Corona de laurel,0.50%,2.00
,Corte celestial,0.25%,1.00
,Cortina roja,1.99%,8.00
,Cortinas,1.49%,6.00
,Cristo crucificado,0.50%,2.00
,Crucifijo,0.25%,1.00
,Cruz,1.99%,8.00
,Cráneo,0.74%,3.00
,Cuchillo,2.23%,9.00
,Cuerda,0.74%,3.00
,Cuerno,0.99%,4.00
,Cueva,1.24%,5.00
,Cáliz,0.50%,2.00
,Cántaro,7.44%,30.00
,Cíngulo,2.23%,9.00
,Dedo,0.25%,1.00
,Demonio,0.74%,3.00
,Descalzo,0.25%,1.00
,Diablo,0.25%,1.00
,Dios,0.50%,2.00
,Doce estrellas,1.24%,5.00
,Dragón,0.74%,3.00
,Edificación,0.50%,2.00
,Elefante,2.23%,9.00
,Equipaje,0.50%,2.00
,Escalera,2.73%,11.00
,Escoba,0.25%,1.00
,Escudo,2.73%,11.00
,Escultura,0.25%,1.00
,Esfera,0.25%,1.00
,Espada,12.90%,52.00
,Espada flamigera,0.25%,1.00
,Espejo,0.50%,2.00
,Espigas,2.48%,10.00
,Espinas,0.25%,1.00
,Espíritu santo,0.25%,1.00
,Esqueleto,0.25%,1.00
,Estrella,1.74%,7.00
,Familia,0.50%,2.00
,Flauta,0.99%,4.00
,Flechas,0.50%,2.00
,Flores,4.71%,19.00
,Fruta,1.74%,7.00
,Frutos,0.50%,2.00
,Fuego,7.94%,32.00
,Fuente,0.50%,2.00
,Féretro,0.25%,1.00
,Guitarra,0.25%,1.00
,Hoja de papel,0.99%,4.00
,Hostia,1.24%,5.00
,Hoz,0.50%,2.00
,Humo,3.97%,16.00
,Iglesia,0.25%,1.00
,Incensario,1.49%,6.00
,Incienso,0.25%,1.00
,Jardín,2.23%,9.00
,Jarra,0.25%,1.00
,Joyas,0.50%,2.00
,Ladrillo,0.25%,1.00
,Lanza,6.95%,28.00
,Lanzas,1.99%,8.00
,Laurel,0.50%,2.00
,Lazo,0.25%,1.00
,León,2.73%,11.00
,Libra,0.25%,1.00
,Libro,13.90%,56.00
,Lira,0.25%,1.00
,Llama de fuego,0.25%,1.00
,Llave,0.25%,1.00
,Lobo,0.25%,1.00
,Los vicios,0.25%,1.00
,Luna,0.25%,1.00
,Luz,5.21%,21.00
,Lágrima,0.25%,1.00
,Mano,0.25%,1.00
,Manto,1.49%,6.00
,Manto Café,0.50%,2.00
,Manto Verde,0.25%,1.00
,Manto azul,0.99%,4.00
,Manto blanco,2.48%,10.00
,Manto de piel de animal,0.25%,1.00
,Manto dorado,0.25%,1.00
,Manto rojo,8.93%,36.00
,Manzana,0.25%,1.00
,Manzanas,3.47%,14.00
,Mar,1.24%,5.00
,Martillo,0.50%,2.00
,Matrimonio,0.25%,1.00
,Menorá,0.50%,2.00
,Mesa,4.71%,19.00
,Mitra,1.74%,7.00
,Moneda,0.25%,1.00
,Monstruo,1.24%,5.00
,Montaña,1.99%,8.00
,Muerte,0.99%,4.00
,Muertos,0.50%,2.00
,Muralla,0.50%,2.00
,Nacimiento,0.74%,3.00
,Nimbo de luz,6.95%,28.00
,Niños,5.71%,23.00
,Nube,16.87%,68.00
,Oceano,0.25%,1.00
,Ojos,0.99%,4.00
,Oro,0.50%,2.00
,Oveja,2.23%,9.00
,Paisaje,3.72%,15.00
,Pala,0.25%,1.00
,Palma,0.25%,1.00
,Palma del martirio,0.74%,3.00
,Palo,1.49%,6.00
,Paloma,1.24%,5.00
,Pan,3.23%,13.00
,Paraíso,0.25%,1.00
,Pastor,0.50%,2.00
,Pavo real,0.99%,4.00
,Pañuelo,0.50%,2.00
,Pañuelo blanco,0.25%,1.00
,Pelo,0.25%,1.00
,Pelícano,0.50%,2.00
,Perro,2.98%,12.00
,Personas miniatura,4.71%,19.00
,Pez,1.99%,8.00
,Piedra,1.49%,6.00
,Platos,0.50%,2.00
,Pluma,3.97%,16.00
,Primate,0.50%,2.00
,Puente,0.25%,1.00
,Pájaro,0.25%,1.00
,Rayo,3.23%,13.00
,Recipiente,0.25%,1.00
,Rey,0.25%,1.00
,Rollo,0.74%,3.00
,Rompimiento de gloria,5.21%,21.00
,Rosa blanca,0.25%,1.00
,Rosa roja,0.50%,2.00
,Rueda,1.49%,6.00
,Río,2.73%,11.00
,Sangre,0.50%,2.00
,Santos,2.23%,9.00
,Seno al descubierto,0.25%,1.00
,Serpiente,2.73%,11.00
,Servicio,0.25%,1.00
,Sin datos,1.74%,7.00
,Sol,5.96%,24.00
,Soldados,3.47%,14.00
,Sombrero,9.43%,38.00
,Sábana,0.25%,1.00
,Tela roja,1.24%,5.00
,Telas,4.22%,17.00
,Temor,0.25%,1.00
,Templo,0.25%,1.00
,Tijeras,0.25%,1.00
,Tintero,1.49%,6.00
,Toro,0.50%,2.00
,Trabajo,1.24%,5.00
,Tridente,0.25%,1.00
,Trigo,0.25%,1.00
,Trompeta,1.49%,6.00
,Trono,1.24%,5.00
,Truenos,0.25%,1.00
,Tunica Blanca,3.23%,13.00
,Turbante,4.96%,20.00
,Turbante con Corona,0.99%,4.00
,Túnica,0.74%,3.00
,Túnica Café,1.24%,5.00
,Túnica azul,1.99%,8.00
,Túnica roja,1.24%,5.00
,Unicornio,1.24%,5.00
,Uvas,1.49%,6.00
,Vaca,0.25%,1.00
,Vara,2.73%,11.00
,Vasija,2.98%,12.00
,Vela,0.99%,4.00
,Vendas,0.50%,2.00
,Ventana,0.99%,4.00
,Vestido,0.99%,4.00
,Vino,0.50%,2.00
,Virgen María,0.50%,2.00
,vestido de piel,0.74%,3.00
,Ángeles,18.61%,75.00
,Árbol,10.17%,41.00
,Árbol de la vida,1.49%,6.00
,Árbol del conocimiento,2.98%,12.00
