c1,c2,c3,,,v
Dogma,"Credo, Mandamientos y Alabado",Alabado,Dogma,51.11%,23
Dogma,"Credo, Mandamientos y Alabado",Credo,Dogma,31.11%,14
Dogma,"Credo, Mandamientos y Alabado",Mandamientos,Dogma,17.78%,8
Dogma,Escatología y series, ,Dogma,9.52%,4
Dogma,Escatología y series,Juicio Final 2,Dogma,90.48%,38
Dogma,Postrimerías,"Gloria, Corte y Trono Celestial",Dogma,6.02%,13
Dogma,Postrimerías,Infierno,Dogma,6.48%,14
Dogma,Postrimerías,Juicio particular,Dogma,2.78%,6
Dogma,Postrimerías,Muerte,Dogma,28.70%,62
Dogma,Postrimerías,Purgatorio,Dogma,56.02%,121
Dogma,Sacramentos,Bautismo,Dogma,1.56%,1
Dogma,Sacramentos,Confesión,Dogma,4.69%,3
Dogma,Sacramentos,Eucaristía,Dogma,82.81%,53
Dogma,Sacramentos,Matrimonio,Dogma,4.69%,3
Dogma,Sacramentos,Otros sacamentos,Dogma,6.25%,4
Dogma,Trinidad,Compatio Patris,Dogma,9.46%,14
Dogma,Trinidad,Otras Trinidades,Dogma,12.16%,18
Dogma,Trinidad,Padre eterno,Dogma,7.43%,11
Dogma,Trinidad,Padre y crucificado,Dogma,29.73%,44
Dogma,Trinidad,Tres personas,Dogma,34.46%,51
Dogma,Trinidad,Trinidad tricefálica,Dogma,6.76%,10
