,pais,Participación,conteo
Símbolos,Agnus Dei,0.97%,5.0
,Agua,1.17%,6.0
,Alas,2.52%,13.0
,Alma,0.78%,4.0
,Altar,1.75%,9.0
,Anagrama ihs,0.78%,4.0
,Ancla,0.19%,1.0
,Anillo,0.19%,1.0
,Animales,3.11%,16.0
,Arca de la alianza,0.58%,3.0
,Arco,1.36%,7.0
,Arco iris,3.88%,20.0
,Armadura,1.75%,9.0
,Arpa,1.36%,7.0
,Aureola,14.17%,73.0
,Aureola de rayos,19.22%,99.0
,Aves,1.17%,6.0
,Azadón,0.97%,5.0
,Azucenas,4.47%,23.0
,Balanza,3.69%,19.0
,Bandera,5.63%,29.0
,Barco,0.58%,3.0
,Bastón,0.78%,4.0
,Bestia,0.78%,4.0
,Bestias,0.58%,3.0
,Biblia,0.19%,1.0
,Boca sellada con candado,0.19%,1.0
,Boda,0.19%,1.0
,Buey,0.58%,3.0
,Burro,0.19%,1.0
,Báculo,0.97%,5.0
,Búho,0.19%,1.0
,Caballo,0.39%,2.0
,Cadena,2.33%,12.0
,Cadáver,0.39%,2.0
,Cama,0.19%,1.0
,Camello,0.39%,2.0
,Campana,1.75%,9.0
,Candelabro,0.19%,1.0
,Capa,0.19%,1.0
,Cartas,0.39%,2.0
,Casulla,0.39%,2.0
,Caverna,1.55%,8.0
,Cayado,0.97%,5.0
,Caña,0.19%,1.0
,Cañón,0.39%,2.0
,Cepillo,0.19%,1.0
,Cerdo,0.19%,1.0
,Cetro,19.61%,101.0
,Chelo,0.19%,1.0
,Cielo,0.19%,1.0
,Ciervo,0.39%,2.0
,Ciprés,0.78%,4.0
,Cirios,0.39%,2.0
,Ciudad,1.36%,7.0
,Ciudad de dios,0.58%,3.0
,Clavos,0.39%,2.0
,Columna,4.08%,21.0
,Comida,0.39%,2.0
,Concha,0.78%,4.0
,Copa,1.75%,9.0
,Copón y ostia,0.39%,2.0
,Corazón,1.17%,6.0
,Corazón flameante,1.94%,10.0
,Cordero,13.79%,71.0
,Corneta,0.19%,1.0
,Cornucopia,0.19%,1.0
,Corona,17.28%,89.0
,Corona de espinas,2.14%,11.0
,Corona de flores,1.36%,7.0
,Corona de laurel,0.58%,3.0
,Cortinas,1.17%,6.0
,Cristo crucificado,4.47%,23.0
,Crucifijo,1.94%,10.0
,Cruz,25.24%,130.0
,Cruz en forma de aspa,0.78%,4.0
,Cruz papal,1.94%,10.0
,Cráneo,2.91%,15.0
,Cuerda,0.19%,1.0
,Cueva,0.19%,1.0
,Cuna,0.19%,1.0
,Custodia,10.68%,55.0
,Cáliz,1.75%,9.0
,Cíngulo,1.75%,9.0
,Daga,1.17%,6.0
,Demonio,1.17%,6.0
,Doce estrellas,3.11%,16.0
,Dragón,3.30%,17.0
,Elefante,0.19%,1.0
,Escalera,1.75%,9.0
,Escapulario,2.72%,14.0
,Escudo,0.58%,3.0
,Escudo papal,0.58%,3.0
,Esfera,25.44%,131.0
,Espada,8.93%,46.0
,Espada flamigera,2.14%,11.0
,Espejo,0.58%,3.0
,Espigas,0.19%,1.0
,Esponja,0.39%,2.0
,Espíritu santo,11.46%,59.0
,Esqueleto,0.58%,3.0
,Estandarte,0.19%,1.0
,Estandarte con cruz,9.13%,47.0
,Estigma,10.87%,56.0
,Estrella,0.58%,3.0
,Fauces de la bestia,5.24%,27.0
,Flauta,0.58%,3.0
,Flechas,1.94%,10.0
,Flores,5.24%,27.0
,Fruta,0.97%,5.0
,Fuego,30.87%,159.0
,Fuente,0.58%,3.0
,Gafas,0.19%,1.0
,Garzas,0.19%,1.0
,Granada,0.19%,1.0
,Guitarra,0.78%,4.0
,Habito eclesiástico,12.62%,65.0
,Hacha,0.78%,4.0
,Hidra,0.19%,1.0
,Hilo,0.39%,2.0
,Hostia,11.26%,58.0
,Hoz,3.50%,18.0
,Humo,0.97%,5.0
,Iglesia,0.39%,2.0
,Incensario,3.30%,17.0
,Instrumentos musicales,1.36%,7.0
,Jardín,0.39%,2.0
,Jarra,0.58%,3.0
,Joyas,1.17%,6.0
,"Justicia
Libro",0.19%,1.0
,Laguna,0.19%,1.0
,Lanza,1.75%,9.0
,Laurel,0.58%,3.0
,Lazo,3.50%,18.0
,León,1.75%,9.0
,Libro,11.46%,59.0
,Lirio,0.97%,5.0
,Llaga,8.93%,46.0
,Llama de fuego,20.58%,106.0
,Llave,2.33%,12.0
,Luna,1.36%,7.0
,Luz,0.19%,1.0
,Lámpara,0.58%,3.0
,Látigo,0.39%,2.0
,Mandolina,0.97%,5.0
,Mandorla,0.58%,3.0
,Mano,0.78%,4.0
,Manto,3.69%,19.0
,Manto blanco,0.58%,3.0
,Manto rojo,22.14%,114.0
,Manzanas,0.19%,1.0
,Martillo,1.36%,7.0
,Mazo,0.19%,1.0
,Medalla,0.19%,1.0
,Media luna,3.11%,16.0
,Menorá,0.19%,1.0
,Mitra,10.87%,56.0
,Monasterio,0.19%,1.0
,Moneda,0.58%,3.0
,Monjes,0.19%,1.0
,Muerte,1.94%,10.0
,Mundo,0.39%,2.0
,Nimbo de luz,19.61%,101.0
,Niños,0.58%,3.0
,Nube,7.77%,40.0
,Ojos,0.97%,5.0
,Olivo,0.78%,4.0
,Olla,0.19%,1.0
,Orbe,6.60%,34.0
,Oreja,0.19%,1.0
,Oveja,0.19%,1.0
,Padre Eterno,0.39%,2.0
,Paisaje,0.19%,1.0
,Pala,0.39%,2.0
,Palma,0.39%,2.0
,Palma del martirio,6.21%,32.0
,Paloma,37.28%,192.0
,Pan,0.19%,1.0
,Panal de abejas,0.19%,1.0
,Pavo real,0.58%,3.0
,Pañuelo,0.19%,1.0
,Pergamino,0.19%,1.0
,Perro,0.97%,5.0
,Pez,0.39%,2.0
,Piedad,0.19%,1.0
,Piedra,0.39%,2.0
,Pila bautismal,0.39%,2.0
,Plantas,0.19%,1.0
,Pluma,3.50%,18.0
,Pozo,0.39%,2.0
,Puerta,1.36%,7.0
,Querubín(es),29.51%,152.0
,Ramas de olivo,0.19%,1.0
