,pais,Participación,conteo
Personajes,Adán y Eva,0.39%,2.0
,Agnus Dei,0.58%,3.0
,Amor,0.19%,1.0
,"Andrés, Apóstol",0.19%,1.0
,Apolonia Santa,0.39%,2.0
,Arcángel Miguel,12.04%,62.0
,Arcángeles,1.75%,9.0
,Bárbara,0.58%,3.0
,Cecilia Santa,0.39%,2.0
,Corte celestial,33.40%,172.0
,Cristo,25.44%,131.0
,Cuadricéfalo,0.19%,1.0
,Cupido,0.19%,1.0
,Demonio - Diablo - Satanás,1.75%,9.0
,Domingo de Guzmán,0.78%,4.0
,Espiritu santo,0.97%,5.0
,Francisco Javier,0.19%,1.0
,Francisco de Asís San,1.94%,10.0
,Gregorio Magno,0.39%,2.0
,Gregorio XI,0.19%,1.0
,"Ignacio de Loyola, San",0.78%,4.0
,Jerónimo San,0.19%,1.0
,Jesús,0.97%,5.0
,"José, San",0.58%,3.0
,Leviatán,1.94%,10.0
,Lucas,0.58%,3.0
,"Lucia, Santa",0.58%,3.0
,Láquesis,0.19%,1.0
,Marcos,0.19%,1.0
,Mateo San,0.19%,1.0
,Moisés,0.19%,1.0
,Muerte,8.54%,44.0
,Pablo Apóstol,0.78%,4.0
,Padre Eterno,1.94%,10.0
,Pedro Apóstol,1.36%,7.0
,Querubines,0.19%,1.0
,Retrato,0.58%,3.0
,"Rosa de Lima, Santa",0.58%,3.0
,San Francisco,0.19%,1.0
,San José,0.19%,1.0
,San Juan Evangelista,0.58%,3.0
,Santisima Trinidad,28.16%,145.0
,,,
,Teresa Santa,0.19%,1.0
,Trinidad,10.49%,54.0
,Águeda Santa,0.19%,1.0
,Ángel,0.39%,2.0
,Ánimas del Purgatorio,28.93%,149.0
,Úrsula,0.19%,1.0
