c1,c2,c3,,,v
Imágenes devocionales, , ,Cristológico,100.00%,1.0
Imágenes devocionales,Buen Pastor, ,Cristológico,100.00%,33.0
Imágenes devocionales,Otras devocionales, ,Cristológico,100.00%,12.0
Imágenes devocionales,Salvador,Cristo Redentor,Cristológico,36.59%,15.0
Imágenes devocionales,Salvador,Cristo Salvador,Cristológico,19.51%,8.0
Imágenes devocionales,Salvador,Cristo Salvador y Eucarístico,Cristológico,19.51%,8.0
Imágenes devocionales,Salvador,Salvador Visión de Mariana Escobar,Cristológico,24.39%,10.0
Imágenes devocionales,Salvador niño, ,Cristológico,100.00%,10.0
