,pais,Participación,conteo
Símbolos,Abrazo,0.06%,1.0
,Agnus Dei,0.12%,2.0
,Agua,4.01%,66.0
,Alacrán,0.06%,1.0
,Alas,2.01%,33.0
,Altar,0.24%,4.0
,Animales,0.97%,16.0
,Animas del purgatorio,0.06%,1.0
,Antorcha,0.30%,5.0
,Aparición,0.12%,2.0
,Apóstol,11.37%,187.0
,Arco,0.49%,8.0
,Arcángel,0.36%,6.0
,Armadura,2.49%,41.0
,Arpa,0.06%,1.0
,Asiento,1.16%,19.0
,Asno,0.30%,5.0
,Ataud,0.06%,1.0
,Aureola,17.82%,293.0
,"Aureola de luz
Descanso",0.61%,10.0
,Aureola de rayos,6.63%,109.0
,Aves,0.61%,10.0
,Azucenas,0.18%,3.0
,Bandeja,0.24%,4.0
,Bandera,0.97%,16.0
,Banquete,0.18%,3.0
,Barco,0.43%,7.0
,Bastón,1.76%,29.0
,Bautismo,2.13%,35.0
,Bebé,0.12%,2.0
,Beso,0.06%,1.0
,Biblia,0.06%,1.0
,Boda,0.55%,9.0
,Bordado dorado,0.06%,1.0
,Bosque,0.49%,8.0
,Bote,0.06%,1.0
,Botella,0.06%,1.0
,Brocados,0.06%,1.0
,Brocados dorados,0.18%,3.0
,Burro,0.36%,6.0
,Caballo,0.73%,12.0
,Cabeza degollada,0.06%,1.0
,Cadena,0.91%,15.0
,Cadáver,0.06%,1.0
,Calvario,12.53%,206.0
,Cama,0.30%,5.0
,Campana,0.06%,1.0
,Canasta,0.24%,4.0
,Canasta con huevos,0.18%,3.0
,"Canasta con palomas
Florero",0.06%,1.0
,Candelabro,0.24%,4.0
,Capa,0.24%,4.0
,Capa azul,0.36%,6.0
,Capa dorada,0.06%,1.0
,Capa roja,0.06%,1.0
,Cartas,0.06%,1.0
,Casa,0.67%,11.0
,Casco,0.36%,6.0
,Caída,8.94%,147.0
,Caña,6.63%,109.0
,Celda,5.35%,88.0
,Cena,1.16%,19.0
,Cerdo,0.12%,2.0
,Cetro,0.12%,2.0
,Cielo,2.07%,34.0
,Cirios,0.18%,3.0
,Ciudad,3.41%,56.0
,Ciudad de dios,0.12%,2.0
,Ciudad miniatura,0.06%,1.0
,Clavos,0.18%,3.0
,Collar,0.06%,1.0
,Columna,3.04%,50.0
,Columna rota,0.06%,1.0
,Columnas ondulantes,0.06%,1.0
,Comercio,0.18%,3.0
,Comida,2.01%,33.0
,Compasión,3.89%,64.0
,Concha,2.07%,34.0
,Consuelo,0.36%,6.0
,Copa,1.09%,18.0
,Corazón,0.36%,6.0
,Corazón flameante,0.30%,5.0
,Cordero,2.19%,36.0
,Corona,2.43%,40.0
,Corona de espinas,21.47%,353.0
,Corona de flores,0.24%,4.0
,Cortina roja,0.24%,4.0
,Cortinas,0.06%,1.0
,Cristo crucificado,15.09%,248.0
,Crucifijo,14.48%,238.0
,Cruz,25.67%,422.0
,Cruz con espada y cetro,0.18%,3.0
,Cruz con serpiente,0.24%,4.0
,Cruz en forma de bastón,1.46%,24.0
,Cráneo,2.55%,42.0
,Cuchillo,1.16%,19.0
,Cuerda,3.10%,51.0
,Cueva,0.06%,1.0
,Curación,0.49%,8.0
,Custodia,0.06%,1.0
,Cáliz,3.89%,64.0
,Cíngulo,0.06%,1.0
,Dados,0.06%,1.0
,Daga,0.06%,1.0
,Demonio,0.79%,13.0
,Demonios,0.18%,3.0
,Descalzo,0.12%,2.0
,Descanso,0.36%,6.0
,Desconsuelo,8.64%,142.0
,Despojo,0.91%,15.0
,Devoción,0.73%,12.0
,Dios,0.06%,1.0
,Disciplina,0.18%,3.0
,Doce estrellas,0.06%,1.0
,Donante,0.24%,4.0
,Dorado,0.30%,5.0
,Dragón,0.06%,1.0
,Eclipse,0.06%,1.0
,Edificación,0.43%,7.0
,Encuentro,2.07%,34.0
,Enfermedad,0.61%,10.0
,Enfermos,0.12%,2.0
,Enredadera de flores,0.06%,1.0
,Enseñanza,0.06%,1.0
,Entrada,0.91%,15.0
,Escalera,0.55%,9.0
,Escapulario,0.06%,1.0
,Escritura,0.12%,2.0
,Escudo,0.18%,3.0
,Esfera,2.13%,35.0
,Espada,0.43%,7.0
,Espadas enfundadas,0.06%,1.0
,Espinas,0.67%,11.0
,Esponja,0.06%,1.0
,Espíritu santo,2.92%,48.0
,Espíritus malignos,0.06%,1.0
,Estigma,0.91%,15.0
,Estigmas,0.36%,6.0
,Eucaristía,0.91%,15.0
,Fariseos,0.06%,1.0
,Farol,0.06%,1.0
,Fauces de la bestia,0.06%,1.0
,Flagelación,0.43%,7.0
,Florero,0.12%,2.0
,Flores,1.34%,22.0
,Flores blancas,0.06%,1.0
,Fruta,0.06%,1.0
,Frutas,0.12%,2.0
,Frutero,0.06%,1.0
,Frutos,0.06%,1.0
,Fuego,0.18%,3.0
,Fuente,0.24%,4.0
,Gallo,0.55%,9.0
,Gato,0.06%,1.0
,Granja,0.12%,2.0
,Guante,0.06%,1.0
,Habitación,0.12%,2.0
,Habito eclesiástico,0.30%,5.0
,Halo de luz,0.06%,1.0
,Herida,3.77%,62.0
,Herramientas,0.49%,8.0
,Hostia,0.12%,2.0
,Huerto,3.16%,52.0
,Huesos,0.12%,2.0
,Huevo,0.06%,1.0
,Humo,0.06%,1.0
,INRI,0.30%,5.0
,Incienso,0.06%,1.0
,Indígena,0.06%,1.0
,Instrumentos de castigo,3.28%,54.0
,Instrumentos de disciplina,3.59%,59.0
,Instrumentos musicales,0.36%,6.0
,Jardín,0.12%,2.0
,Jarra,0.06%,1.0
,Jarrón,0.06%,1.0
,Jaula,0.06%,1.0
,Jesús,1.03%,17.0
,Joyas,0.12%,2.0
,Juan Bautista,0.06%,1.0
,Jueces,0.73%,12.0
,Juicio,1.34%,22.0
,"Justicia
Libro",0.06%,1.0
,Lanza,3.04%,50.0
,Lanza en llamas,0.06%,1.0
,Lanzas,0.18%,3.0
,Lavatorio,1.46%,24.0
,Lazo,0.12%,2.0
,Lectura,0.06%,1.0
,León,0.12%,2.0
,Libro,0.73%,12.0
,Llaga,0.85%,14.0
,Llama de fuego,0.61%,10.0
,Llave,0.18%,3.0
,Luna,0.36%,6.0
,Luz,0.06%,1.0
,Lágrima,0.12%,2.0
,Látigo,0.67%,11.0
,Mantel rojo,0.06%,1.0
,Manto,0.85%,14.0
,Manto Café,0.06%,1.0
,Manto Verde,0.12%,2.0
,Manto azul,1.09%,18.0
,Manto blanco,2.01%,33.0
,Manto dorado,0.06%,1.0
,Manto estrellado,0.06%,1.0
,Manto rojo,4.38%,72.0
,Mar,0.49%,8.0
,Martillo,0.06%,1.0
,Mazo,0.18%,3.0
,Mesa,1.64%,27.0
,Milagro,2.86%,47.0
,Monjes,0.12%,2.0
,Montaña,0.24%,4.0
,Monte,0.18%,3.0
,Muerte,0.18%,3.0
,Muertos,0.06%,1.0
,Mundo,0.24%,4.0
,Muralla,0.12%,2.0
,Máscara,0.06%,1.0
,Negro,0.06%,1.0
,Nimbo de luz,2.25%,37.0
,Niños,0.79%,13.0
,Nube,2.86%,47.0
,Oceano,0.06%,1.0
,Oración,0.12%,2.0
,Orbe,0.30%,5.0
,Oveja,1.03%,17.0
,Padre Eterno,0.43%,7.0
,Paisaje,4.68%,77.0
,Pala,0.36%,6.0
,Palma,0.91%,15.0
,Palma del martirio,0.12%,2.0
,Palo,0.18%,3.0
,Paloma,2.13%,35.0
,Pan,0.97%,16.0
,Pan y Vino,2.86%,47.0
,Pastor,2.25%,37.0
,Pañuelo,0.36%,6.0
,Pañuelo blanco,0.06%,1.0
,Perla,0.06%,1.0
,Perro,0.61%,10.0
,Personas miniatura,0.18%,3.0
,Pez,0.49%,8.0
,Piedad,1.89%,31.0
,Piedra,0.12%,2.0
,Pila,0.30%,5.0
,Piscina,0.06%,1.0
,Plantas,0.06%,1.0
,Platos,0.43%,7.0
,Pobreza (mendigo),0.12%,2.0
,Potencias,0.30%,5.0
,Pozo,0.55%,9.0
,Pueblo,0.06%,1.0
,Puente,0.18%,3.0
,Puerta,0.12%,2.0
,Pájaro,0.24%,4.0
,Querubín(es),1.70%,28.0
,Rebaño,0.18%,3.0
,Recibimiento,0.61%,10.0
,Rey,0.06%,1.0
,Ritual,0.06%,1.0
,Rompimiento de gloria,2.43%,40.0
,Rosa roja,0.06%,1.0
,Rosario,0.12%,2.0
,Río,0.06%,1.0
,Sable,0.06%,1.0
,Sagrado corazón,0.06%,1.0
,San Pedro,0.12%,2.0
,Sanedrín,1.03%,17.0
,Sangre,3.22%,53.0
,Santa faz,3.10%,51.0
,Santos,0.30%,5.0
,Seis velas,0.06%,1.0
,Sepulcro,2.98%,49.0
,Serpientes,0.06%,1.0
,Servicio,0.06%,1.0
,"Servicio
Trabajo",0.12%,2.0
,Silla,0.18%,3.0
,Sin datos,0.85%,14.0
,Soga,20.13%,331.0
,Sol,0.36%,6.0
,Soldados,10.77%,177.0
,Sombrero,1.52%,25.0
,Sudario,0.18%,3.0
,Sudario rojo,0.06%,1.0
,Sábana,1.34%,22.0
,Sábana blanca,0.18%,3.0
,Símbolos de la pasión,3.53%,58.0
,Templo,0.55%,9.0
,Tentación,0.18%,3.0
,Toro,0.18%,3.0
,Trabajo,0.12%,2.0
,Trigo,0.06%,1.0
,Trinidad,0.67%,11.0
,Trompeta,0.12%,2.0
,Trono,0.18%,3.0
,Tunica Blanca,0.49%,8.0
,Turbante,0.97%,16.0
,Túnica,1.46%,24.0
,Túnica Café,0.06%,1.0
,Túnica azul,0.30%,5.0
,Túnica negra,0.06%,1.0
,Túnica roja,3.53%,58.0
,Uvas,0.24%,4.0
,Vaca,0.12%,2.0
,Vara,1.52%,25.0
,Vasija,1.52%,25.0
,Vasijas,0.12%,2.0
,Vela,0.49%,8.0
,Velo,0.06%,1.0
,Venado,0.06%,1.0
,Vendas,0.12%,2.0
,Ventana,0.18%,3.0
,Vestido,0.18%,3.0
,Viacrucis,1.34%,22.0
,Vino,0.24%,4.0
,Violencia,0.18%,3.0
,"Virgen
Nobleza",0.12%,2.0
,Virgen María,0.97%,16.0
,Virgen con niño,0.06%,1.0
,Viñedo,0.18%,3.0
,vestido de piel,1.09%,18.0
,Ángeles,12.10%,199.0
