,pais,Participación,conteo
Tipos de soporte,Acuarela,1.78%,30
,Acuarela sobre marfil,20.12%,340
,Ceras,0.06%,1
,Esmalte sobre porcelana,0.12%,2
,Gouache,0.06%,1
,Grabado,0.41%,7
,Grafito sobre papel,0.24%,4
,Grafito sobre tela,0.12%,2
,Nulo,1.24%,21
,Pastel,0.53%,9
,Tinta sobre papel,0.18%,3
,Técnica mixta Óleo tela madera,0.06%,1
,Óleo madera techo,0.06%,1
,Óleo sobre Papel,0.24%,4
,Óleo sobre cobre,1.95%,33
,Óleo sobre lámina,0.12%,2
,Óleo sobre madera,7.34%,124
,Óleo sobre marfil,0.06%,1
,Óleo sobre tela,65.21%,1102
,Óleo sobre vidrio,0.12%,2
