,pais,Participación,conteo
Tipos de soporte,Acuarela,0.58%,111
,Acuarela sobre marfil,1.89%,362
,Azulejo,0.09%,17
,Biombo Óleo Tela,0.31%,59
,Ceras,0.01%,2
,Esmalte sobre cobre,0.01%,1
,Esmalte sobre porcelana,0.01%,2
,Gouache,0.01%,1
,Grabado,0.10%,19
,Grabado en hojalata,0.05%,9
,Grabado en seda,0.01%,1
,Grabado iluminado,0.05%,10
,Grabado metal bordado,0.01%,1
,Grabado metal iluminado,0.01%,2
,Grafito sobre papel,0.04%,7
,Grafito sobre tela,0.02%,4
,Miniatura,0.01%,2
,Nulo,14.29%,2744
,Oleo sobre carey,0.02%,4
,Pastel,0.05%,9
,Pintura mural,1.16%,223
,Plumaria,0.12%,23
,SD,2.30%,442
,Sepia sobre marfil,0.01%,1
,Sepia sobre papel,0.01%,1
,Tabla Enconchada,0.38%,72
,Tapiz,0.01%,2
,Temple madera,0.10%,19
,Temple sobre algodón,0.01%,2
,Temple sobre marfil,0.01%,1
,Temple tela,0.11%,21
,Tinta sobre papel,0.11%,21
,Técnica mixta madera,0.08%,15
,Técnica mixta sobre tela,0.40%,77
,Técnica mixta Óleo tela madera,0.11%,22
,Témpera sobre tela,0.03%,5
,Óleo aguafuerte,0.01%,1
,Óleo alabastro,0.01%,2
,Óleo en papel sobre madera,0.01%,2
,Óleo madera techo,0.65%,124
,Óleo mármol,0.02%,3
,Óleo sobre Papel,0.41%,79
,Óleo sobre cobre,0.97%,187
,Óleo sobre concha,0.06%,12
,Óleo sobre cuero,0.03%,5
,Óleo sobre espejo,0.01%,1
,Óleo sobre grabado,0.08%,16
,Óleo sobre lámina,1.67%,320
,Óleo sobre madera,5.88%,1129
,Óleo sobre marfil,0.02%,3
,Óleo sobre piedra,0.02%,3
,Óleo sobre plata,0.02%,4
,Óleo sobre tela,67.61%,12981
,Óleo sobre vidrio,0.07%,14
