c1,,,v,,
Retrato,Retrato,82.68%,"1,690",,
Temas seculares,Temas seculares,10.37%,212,,
Cristológico,Cristológico,2.30%,47,,
Historia,Historia,1.61%,33,,
Santos,Santos,0.93%,19,,
Mariología,Mariología,0.78%,16,,
Antiguo Testamento,Antiguo Testamento,0.68%,14,,
Alegorías y Emblemas,Alegorías y Emblemas,0.39%,8,,
Ángeles,Ángeles,0.15%,3,,
Dogma,Dogma,0.05%,1,,
Mística y Moral,Mística y Moral,0.05%,1,,
