,pais,Participación,conteo
Lugar origen,Argentina,7.14%,41.0
,Bolivia,10.28%,59.0
,Brazil,2.79%,16.0
,Chile,1.05%,6.0
,Colombia,21.95%,126.0
,Ecuador,4.36%,25.0
,Guatemala,0.52%,3.0
,Mexico,25.61%,147.0
,Peru,23.69%,136.0
,United States,0.52%,3.0
,Venezuela,2.09%,12.0
