,pais,Participación,conteo
Lugar origen,Argentina,7.14%,1.0
,Bolivia,10.28%,159.0
,Brazil,2.79%,116.0
,Chile,1.05%,6.0
,Colombia,21.95%,26.0
,Ecuador,4.36%,25.0
,Guatemala,0.52%,13.0
,Mexico,25.61%,47.0
,Peru,23.69%,36.0
,United States,0.52%,3.0
,Venezuela,2.09%,12.0
